コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1301	極洋	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4395.0	3.64	160.0	3.64	160.0	3.64	配当あり	いいえ	7.63	0.67	522.0	5450.0	4165.0	Consumer Defensive			OK	通常掲載可	OK	334612.0	3.21	10.55	36.12	1.19	-745.0	576.18	27.77	8.88	1
130A	Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	431.0						配当未取得			1.57	28.0	940.0	390.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	91.1	-435.32	-53.18	94.64		-330.5	-65.64		-21.32	
1332	ニッスイ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1293.5	2.47	32.0	2.47	32.0	2.47	配当あり	いいえ	14.35	1.31	3922.8	1570.0	859.0	Consumer Defensive			OK	通常掲載可	OK	931265.0	4.34	5.09	40.04	0.9	8889.0	90.16	35.49	9.92	6
1333	Ｕｍｉｏｓ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1307.5	3.44	45.0	3.44	45.0	3.44	配当あり	いいえ	8.91	0.8	1976.7	1589.0	1005.0	Consumer Defensive			OK	通常掲載可	OK	1105890.0	2.82	2.53	32.89	1.24	-1743.0	146.7	30.67	9.96	4
135A	ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	4570.0						配当未取得		71.95	31.66	468.7	4790.0	1910.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3278.0	27.91	52.89	64.82	0.19	-475.0	63.52		44.0	
1375	ユキグニファクトリー	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1154.0	1.73	20.0	1.73	20.0	1.73	配当あり	いいえ	15.55	3.12	460.2	1165.0	1000.0	Consumer Defensive			OK	通常掲載可	OK	53449.0	8.08	0.58	39.19	1.07	3296.0	74.2	26.95	21.65	2
1376	カネコ種苗	スタンダード（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1459.0	3.29	48.0	3.29	48.0	3.29	配当あり	いいえ	12.56	0.63	160.0	1859.0	1364.0	Basic Materials			OK	通常掲載可	OK	64508.7	2.34	4.72	50.72		-1138.4	116.14	41.33	5.16	4
1377	サカタのタネ	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4165.0	1.92	80.0	1.92	80.0	1.92	配当あり	いいえ	15.58	1.02	1760.1	4630.0	3310.0	Consumer Defensive			OK	通常掲載可	OK	92920.0	13.19	4.78	84.46	0.02	-2606.0	267.39	29.92	6.31	5
1379	ホクト	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1887.0	3.29	62.0	3.29	62.0	3.29	配当あり	いいえ	9.83	0.91	591.5	2123.0	1779.0	Consumer Defensive			OK	通常掲載可	OK	85915.0	8.18	3.38	57.09	0.47	5901.0	191.91	32.31	11.51	0
137A	Ｃｏｃｏｌｉｖｅ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	827.0						配当未取得		13.44	6.76	24.9	1585.0	549.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1301.8	21.48	26.66	84.09	0.0	221.4	61.53		50.3	
1380	秋川牧園	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	1001.0	1.0	10.0	1.0	10.0	1.0	配当あり	いいえ	192.13	1.92	41.7	1245.0	980.0	Consumer Defensive			OK	通常掲載可	OK	8283.4	1.73	4.1	31.22	1.44	252.7	5.21	191.94	0.96	0
1381	アクシーズ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	3515.0	3.2	112.5	3.2	112.5	3.2	配当あり	いいえ	8.83	0.85	197.4	4600.0	2854.0	Consumer Defensive			OK	通常掲載可	OK	26426.0	8.03	2.28	86.14	0.0	870.0	398.25	28.25	12.04	4
1382	ホーブ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	1111.0	4.5	50.0	4.5	50.0	4.5	配当あり	いいえ		1.17	8.5	3645.0	1100.0	Consumer Defensive			OK	通常掲載可	OK	2412.7	1.58	-4.22	70.69	0.01	-5.0	-9.33		-1.47	0
1383	ベルグアース	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	2865.0	0.35	10.0	0.35	10.0	0.35	配当あり	いいえ	43.47	2.19	45.9	3365.0	2803.0	Consumer Defensive			OK	通常掲載可	OK	7303.5	-0.45	2.94	34.92	1.14	-239.4	65.9	15.17	4.86	0
1384	ホクリヨウ	スタンダード（内国株式）	50	水産・農林業	1	食品	-	-	2041.0	3.92	80.0	3.92	80.0	3.92	配当あり	いいえ	4.47	1.74	172.6	3385.0	1560.0	Consumer Defensive			OK	通常掲載可	OK	23107.0	21.51	19.13	74.86	0.07	4079.0	456.57	17.52	11.24	4
138A	光フードサービス	グロース（内国株式）	6100	小売業	14	小売	-	-	2972.0	1.62	48.0	1.62	48.0	1.62	配当あり	いいえ	28.73	2.25	29.5	3540.0	2000.0	Consumer Cyclical			OK	通常掲載可	OK	2861.8	7.89	11.49	49.39	0.63	40.7	103.43	46.41	8.01	0
1401	エムビーエス	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	1293.0	1.16	15.0	1.16	15.0	1.16	配当あり	いいえ	17.7	2.4	89.6	1977.0	1141.0	Industrials			OK	通常掲載可	OK	4713.0	13.28	8.18	75.78	0.0	467.1	73.05	20.53	14.21	4
1407	ウエストホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2389.0	2.93	70.0	2.93	70.0	2.93	配当あり	いいえ	18.31	2.76	947.5	3270.0	1294.0	Utilities			OK	通常掲載可	OK	47250.0	18.3	-6.23	24.38	2.6	182.0	130.44	53.66	16.05	0
1414	ショーボンドホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1260.0	3.61	45.5	3.61	45.5	3.61	配当あり	いいえ	17.48	2.44	2532.1	1537.0	1161.75	Industrials			OK	通常掲載可	OK	90712.0	22.92	6.2	81.38		8616.0	72.07	63.13	14.64	17
1417	ミライト・ワン	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	3849.0	2.6	100.0	2.6	100.0	2.6	配当あり	いいえ	14.71	1.22	3383.9	4351.0	2486.5	Industrials			OK	通常掲載可	OK	602377.0	5.69	4.11	48.73	0.48	13019.0	261.73	38.21	8.61	2
1418	インターライフホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	529.0	5.67	30.0	5.67	30.0	5.67	配当あり	いいえ	9.87	1.73	80.7	729.0	375.0	Industrials			OK	通常掲載可	OK	16336.3	7.14	-3.57	50.45	0.31	2188.3	53.59	55.98	18.63	3
1419	タマホーム	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	2912.0	4.29	125.0	4.29	125.0	4.29	配当あり	いいえ	34.85	3.27	844.1	4125.0	2701.0	Consumer Cyclical			OK	通常掲載可	OK	200817.0	2.05	-18.94	37.1	0.56	512.0	83.57	149.58	10.21	4
141A	トライアルホールディングス	グロース（内国株式）	6100	小売業	14	小売	-	-	3075.0	0.52	16.0	0.52	16.0	0.52	配当あり	いいえ	39.06	2.88	3771.3	4840.0	1996.0	Consumer Defensive			OK	通常掲載可	OK	803829.0	2.63	11.96	42.0	0.31	-39951.0	78.72	20.33	7.55	1
1420	サンヨーホームズ	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	636.0	3.93	25.0	3.93	25.0	3.93	配当あり	いいえ	5.19	0.45	78.9	741.0	602.0	Consumer Cyclical			OK	通常掲載可	OK	50502.6	4.32	10.95	35.59	1.15	-1618.8	122.62	20.39	8.67	0
1429	日本アクア	プライム（内国株式）	2050	建設業	3	建設・資材	-	-	736.0	4.76	35.0	4.76	35.0	4.76	配当あり	いいえ	12.39	2.18	236.9	955.0	678.0	Industrials			OK	通常掲載可	OK	33670.8	8.24	11.25	45.07	0.41	1006.7	59.4	58.92	18.18	5
142A	ジンジブ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	769.0						配当未取得		12.24	3.88	22.3	1083.0	513.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2688.0	6.18	11.99	25.07	0.73	212.8	62.83		37.72	
1430	ファーストコーポレーション	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	934.0	4.93	46.0	4.93	46.0	4.93	配当あり	いいえ	8.86	1.09	112.0	1151.0	844.0	Consumer Cyclical			OK	通常掲載可	OK	43194.3	5.97	51.64	39.22	0.48	2050.0	105.45	43.62	15.01	1
1431	Ｌｉｂ　Ｗｏｒｋ	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	643.0	1.0	6.4	1.0	6.4	1.0	配当あり	いいえ	65.81	3.44	149.6	838.0	625.0	Real Estate			OK	通常掲載可	OK	16004.7	5.21	3.69	40.91	0.81	936.7	9.77	65.51	4.61	0
1433	ベステラ	プライム（内国株式）	2050	建設業	3	建設・資材	-	-	1146.0	3.49	40.0	3.49	40.0	3.49	配当あり	いいえ	14.08	1.89	101.5	1355.0	1003.0	Industrials			OK	通常掲載可	OK	11140.4	6.65	2.23	64.77	0.11	1636.0	81.37	49.16	12.05	1
1434	ＪＥＳＣＯホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1908.0	2.52	48.0	2.52	48.0	2.52	配当あり	いいえ	8.67	1.64	132.8	2624.0	903.0	Industrials			OK	通常掲載可	OK	19067.6	9.03	28.8	42.36	0.74	896.3	219.99	21.82	20.26	1
1435	ｒｏｂｏｔ　ｈｏｍｅ	スタンダード（内国株式）	8050	不動産業	17	不動産	7	TOPIX Small 2	164.0	1.22	2.0	1.22	2.0	1.22	配当あり	いいえ	7.41	1.34	145.7	277.0	145.0	Real Estate			OK	通常掲載可	OK	24068.2	7.34	82.92	70.1	0.12	1035.3	22.12	9.04	18.38	0
1436	グリーンエナジー＆カンパニー	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	1560.0	1.35	21.0	1.35	21.0	1.35	配当あり	いいえ	40.32	3.49	192.9	2184.0	693.0	Industrials			OK	通常掲載可	OK	11616.6	4.68	20.06	39.04	1.09	-1110.9	38.69	54.28	9.19	1
1438	岐阜造園	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1879.0	2.13	40.0	2.13	40.0	2.13	配当あり	いいえ	12.23	1.36	61.0	2030.0	1758.0	Industrials			OK	通常掲載可	OK	6271.4	8.58	20.63	71.75	0.06	286.9	153.7	26.02	11.79	3
143A	イシン	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	731.0						配当未取得		303.32	1.16	14.1	1189.0	621.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1428.9	3.5	2.54	57.69		-127.0	2.41		-1.74	
1443	技研ホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	253.0	0.43	1.1	0.43	1.1	0.43	配当あり	いいえ	6.69	0.32	41.1	375.0	191.0	Industrials			OK	通常掲載可	OK	4675.1	15.01	-4.71	70.71	0.22	928.8	37.8	2.91	5.14	1
1444	ニッソウ	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	2851.0						配当未取得			1.88	31.0	3005.0	2520.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4679.0	1.21	12.3	54.24	0.52	-79.3	-40.2		-4.19	
1446	キャンディル	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	530.0	1.89	10.0	1.89	10.0	1.89	配当あり	いいえ	19.2	1.57	49.3	598.0	516.0	Industrials			OK	通常掲載可	OK	13860.6	3.03	4.81	47.15	0.41	358.9	27.61	36.22	8.43	0
1447	ＳＡＡＦホールディングス	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	326.0	1.47	4.8	1.47	4.8	1.47	配当あり	いいえ	17.27	7.3	79.4	475.0	230.0	Technology			OK	通常掲載可	OK	28855.7	1.16	-1.42	15.58	3.58	-366.2	18.88	25.42	11.74	
1450	ＴＡＮＡＫＥＮ	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1405.0	3.91	55.0	3.91	55.0	3.91	配当あり	いいえ	8.14	1.31	122.2	1870.0	1300.0	Industrials			OK	通常掲載可	OK	14820.4	14.75	20.63	76.57	0.0	-608.2	172.67	31.85	17.12	1
145A	Ｌ　ｉｓ　Ｂ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	810.0						配当未取得		29.94	2.17	41.5	1543.0	740.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2132.7	7.93	33.79	53.94	0.67	151.3	27.05		8.8	
146A	コロンビア・ワークス	スタンダード（内国株式）	8050	不動産業	17	不動産	-	-	3180.0	2.96	94.0	2.96	94.0	2.96	配当あり	いいえ	6.4	1.41	245.4	4710.0	2502.0	Real Estate			OK	通常掲載可	OK	37084.0	16.26	76.75	26.05	2.69	-5765.0	496.72	18.92	24.04	1
147A	ソラコム	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1171.0						配当未取得		84.06	4.71	533.7	1335.0	782.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8993.0	7.3	13.42	76.97	0.09	-1052.7	13.93		5.87	
148A	ハッチ・ワーク	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1666.0						配当未取得		13.46	3.11	32.0	3155.0	1647.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2759.3	9.5	16.55	35.62	0.43	266.3	123.78		27.37	
1491	中外鉱業	スタンダード（内国株式）	3500	非鉄金属	7	鉄鋼・非鉄	-	-	730.0	9.32	68.0	9.32	68.0	9.32	配当あり	いいえ	6.94	1.12	104.9	1480.0	632.0	Basic Materials	高利回り要確認	配当利回りが8%以上	要確認	手動確認後に掲載	OK_高利回り要確認	281692.2	0.87	73.51	53.31	0.39	1922.5	105.12	64.69	17.24	1
149A	シンカ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	801.0						配当未取得		61.33	2.45	25.7	1774.0	672.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1464.4	4.1	18.84	81.85	0.06	30.9	13.06		4.24	
